연도,지역,대학명,전형 ,학과,면접유형,평가요소,면접문항
2024,서울,가톨릭대,학생부 종합전형,-,서류기반면접,전공적합성,지원자는 시각장애인을 도와주는 의료용 로봇을 만들고 싶다고 하였고 공학을 전공하는 것이 더 꿈에 가까이 가는 것 같은데 본인이 반드시 지금의 전공을 선택해야 하는 이유는 무엇인가요?
2024,서울,가톨릭대,학생부 종합전형,-,서류기반면접,전공적합성,"사회탐구보고서 발표에서 인상적인 활동이 보이는데, 본인이 다른 경쟁자들보다 좋은 평가를 받았던 가장 큰 이유는 무엇인가요? 지금 다시 그 활동을 한다면 어떤 점을 보완하고 싶은지 이야기해 보세요."
2024,서울,가톨릭대,학생부 종합전형,-,서류기반면접,전공적합성,"자연과학을 전공하기 위해서는 인문학적 소양의 중요성을 알고 있는 것 같아요, 그렇게 생각하게 된 계기는 무엇이며, 인문학적 소양을 쌓기 위해 구체적으로 어떤 노력을 하였는지 이야기해 보세요."
2024,서울,가톨릭대,학생부 종합전형,-,서류기반면접,인성,"무단결석이 3회 있는데, 어떤 특별한 이유가 있었나요? 무단결석한 것이 본인의 학교생활에 어
떤 지장을 주었나요?"
2024,서울,가톨릭대,학생부 종합전형,-,서류기반면접,인성,"기숙사 생활에서 갈등상황을 해결했다고 했는데, 그 상황 이전에 본인이 어떻게 행동했다면 그 
갈등상황이 발생하지 않았을 것이라 생각하나요?"
2024,서울,가톨릭대,학생부 종합전형,-,서류기반면접,인성,"봉사동아리에 참여하게 된 계기는 무엇이며, 가장 의미있었던 활동과 그 활동에서 본인이 역할이 무엇이었는지 말해 보세요."
2024,서울,가톨릭대,학생부 종합전형,-,서류기반면접,인성,"특수반 학생 도우미 활동을 통해서 본인이 가장 얻었다고 생각하는 점은 무엇이며, 그 특수반 학생과 나눈 대화 중 가장 기억에 남은 말과 그 이유는 무엇인가요? "
2024,서울,가톨릭대,학생부 종합전형,-,서류기반면접,인성,"2학년 담임 선생님께서 지원자를 학교에서 가장 귀감이 되는 학생으로 언급해 주었는데, 본인의 어떠한 점을 평가받았다고 생각하며, 본인의 활동으로 인해 학우들이나 학교에 어떤 플러스가 되었다고 생각하나요? "
2024,서울,가톨릭대,학생부 종합전형,-,서류기반면접,발전가능성,반장에 입후보한 이유는 무엇인가요? 반장 활동을 하면서 가장 어려웠던 점 혹은 본인의 한계라고 느낀 점이 있다면 무엇이고 어떻게 극복했나요? 
2024,서울,가톨릭대,학생부 종합전형,-,서류기반면접,발전가능성,"선생님이 지원자를 자기주도성이 강하다고 평가하였는데, 본인의 어떤 점에 대해 그렇게 평가했다고 생각하나요?"
2024,서울,가톨릭대,학생부 종합전형,-,서류기반면접,발전가능성,"3년간 같은 동아리 활동을 한 이유는 무엇이며, 그것이 본인의 어떤 점을 성장시켰다고 생각하나요? "
2024,서울,가톨릭대,학생부 종합전형,-,서류기반면접,발전가능성,"지원자의 꿈은 교사인데, 어떤 교사가 좋은 교사라고 생각하나요? 그런 자질을 어떻게 기를 수 있으며 어떤 노력을 해 왔나요?"
2024,서울,가톨릭대,학생부 종합전형,-,서류기반면접,발전가능성,"수업 시간에 질문이 많은 학생으로 작성되어 있는데, 질문을 많이 하게 된 이유는 무엇이며 특히 기억에 남는 질문이 있나요?"
2024,서울,경희대,학생부종합전형,-,-,전공적합성,고등학교 재학 중 가장 흥미를 가졌던 과목은? 그 과목 수업에서 가장 의미 있거나 기억에 남는 활동은?
2024,서울,경희대,학생부종합전형,-,-,전공적합성,진로를 탐색하기 위해 이수한 과목이 있는가?
2024,서울,경희대,학생부종합전형,-,-,인성,"조별 과제나 팀별 활동에서 협업해서 이룬 성과, 본인의 역할은?"
2024,서울,경희대,학생부종합전형,-,-,인성,"미인정 지각이 수회 있는데, 특별한 이유가 있는가?"
2024,서울,경희대,학생부종합전형,-,-,인성,학교에서 나눔과 배려를 실천한 활동은?
2024,서울,경희대,학생부종합전형,-,-,인성,학교에서 리더십을 발휘한 경험과 배운 점은?
2024,서울,경희대,재외국민특별전형,-,-,인성,"고등학교 재학 중 공동과제 수행 시, 협조하지 않는 팀원이 있을 경우 어떻게 대응하였는가? 공동과제 수행 시 지원자는 주로 어떤 역할을 했는가? 공동과제를 수행하면서 어려운 상황이 처했을 때 어떻게 극복했는지?"
2024,서울,경희대,재외국민특별전형,-,-,"학업적성(한국어 
능력)",학교에서 배운 과목 중에 제일 재미있는 과목은 어떤 과목이고 그 이유는 무엇인지? 그 과목에서 가장 관심 있는 단원과 그 이유는?
2024,서울,광운대,광운참빛인재 면접형,-,-,발전가능성,"졸업 후 00분야의 진로를 희망하고 있는데, 이 분야의 전문가가 되기 위해서 가장 중욯다고 생각하는 조건은?"
2024,서울,광운대,광운참빛인재 면접형,-,-,발전가능성,00분야의 희망 세부전공은 무엇인가? 그 이유는?
2024,서울,광운대,광운참빛인재 면접형,-,-,논리적사고력,00활동 중 가장 의미 있었던 활동과 그 이유는?
2024,서울,광운대,광운참빛인재 면접형,-,-,논리적사고력,00활동에 친구들과 공동으로 참여했는데 본인의 구체적인 역할?
2024,서울,광운대,광운참빛인재 면접형,-,-,논리적사고력,세부능력 및 특기사항에서 00교과의 활동(발표 등) 과정을 구체적으로 설명하세요.
2024,서울,광운대,광운참빛인재 면접형,-,-,인성,00부 부장으로 활동하면서 특별히 어려웠던 점은?
2024,서울,광운대,소프트웨어우수인재,-,-,발전가능성,"졸업 후 00분야의 진로를 희망하고 있는데, 이 분야의 전문가가 되기 위해서 가장 중욯다고 생각하는 조건은?"
2024,서울,광운대,소프트웨어우수인재,-,-,발전가능성,00분야의 희망 세부전공은 무엇인가? 그 이유는?
2024,서울,광운대,소프트웨어우수인재,-,-,문제해결능력,00프로그래밍 활동 중 설계하는 과정과 내용에 대해 설명해보세요.
2024,서울,광운대,소프트웨어우수인재,-,-,문제해결능력,00프로그래밍 활동 중 실제 구현하는 과정에서 사용한 방법과 어려웠던 점을 설명해보세요.
2024,서울,광운대,소프트웨어우수인재,-,-,인성,00부 부장으로 활동하면서 특별히 어려웠던 점은?
2024,서울,광운대,재외국민 전형 ,-,-,전공에 대한 관심 및 흥미,우리 학과에 지원하신 동기가 무엇인가요
2024,서울,광운대,재외국민 전형 ,-,-,전공에 대한 관심 및 흥미,많은 대학 중 우리 대학에 지원하신 동기가 있나요
2024,서울,광운대,재외국민 전형 ,-,-,전공에 대한 관심 및 흥미,"진로희망이 무엇이며, 그 진로희망을 갖게 된 계기는 무엇인가요"
2024,서울,광운대,재외국민 전형 ,-,-,전공에 대한 관심 및 흥미,그 진로희망을 통해 미래에 구체적으로 어떤 성취를 하고 싶은지 계획이 있나요
2024,서울,광운대,재외국민 전형 ,-,-,전공에 대한 관심 및 흥미,대학 입학 후 학업 및 진로계획은 있나요
2024,서울,광운대,재외국민 전형 ,-,-,전공에 대한 관심 및 흥미,우리 학과를 졸업하면 어떤 분야로 갈 수 있다고 알아봤나요
2024,서울,광운대,재외국민 전형 ,-,-,전공에 대한 관심 및 흥미,본인의 진로 탐색을 위해 학교생활 중 노력한 것이 있으면 말해보세요
2024,서울,광운대,재외국민 전형 ,-,-,전공에 대한 관심 및 흥미,진로희망 분야에서 닮고 싶은 롤모델이 있다면 누구인가요
2024,서울,광운대,재외국민 전형 ,-,-,전공에 대한 관심 및 흥미,우리 학과와 연관된 과거 활동 중 본인에게 가장 유의미한 활동은 무엇인가요
2024,서울,광운대,재외국민 전형 ,-,-,전공에 대한 관심 및 흥미,우리학교가 지원자 본인을 꼭 선발해야 하는 이유가 무엇일까요
2024,서울,광운대,재외국민 전형 ,-,-,전공에 대한 관심 및 흥미,우리 학과에 오신다면 가장 배우고 싶은 분야나 과목은 무엇인가요
2024,서울,광운대,재외국민 전형 ,-,-,전공에 대한 관심 및 흥미,대학 입학 후 기대되는 교내활동은 무엇인가요
2024,서울,광운대,재외국민 전형 ,-,-,전공에 대한 관심 및 흥미,우리 학과에서 배우는 커리큘럼(과목)은 무엇이 있는지 말해보세요
2024,서울,광운대,재외국민 전형 ,-,-,학습에 필요한 기본 소양,우리 학과에 필요한 소양을 갖추기 위해 가장 필요한 과목이 무엇이라 생각하나요
2024,서울,광운대,재외국민 전형 ,-,-,학습에 필요한 기본 소양,우리 학과와 연관된 독서활동이 있다면 말해보세요
2024,서울,광운대,재외국민 전형 ,-,-,학습에 필요한 기본 소양,본인은 수업시간에 어떤 학생이었다고 생각되나요
2024,서울,광운대,재외국민 전형 ,-,-,학습에 필요한 기본 소양,학교에서 탐구나 실험했던 것 중 우리 학과와 연관된 학습활동은 무엇이 있나요
2024,서울,광운대,재외국민 전형 ,-,-,학습에 필요한 기본 소양,"학교생활 중 가장 좋아하는 과목/싫어하는 과목은 무엇이며, 그 이유는 무엇인가요"
2024,서울,광운대,재외국민 전형 ,-,-,학습에 필요한 기본 소양,"학교생활 중 가장 자신있는 과목/자신없는 과목은 무엇이며, 그 이유는 무엇인가요"
2024,서울,광운대,재외국민 전형 ,-,-,학습에 필요한 기본 소양,우리 학과와 연관된 새로운 지식을 얻기 위해 어떤 노력을 했나요
2024,서울,광운대,재외국민 전형 ,-,-,자기주도성,학교생활 중 자기주도성을 발휘했던 경험이 있으면 말해보세요
2024,서울,광운대,재외국민 전형 ,-,-,자기주도성,"학교생활 중 가장 본인에게 유의미했던 활동은 무엇이며, 그 이유는 무엇인가요"
2024,서울,광운대,재외국민 전형 ,-,-,자기주도성,"학교에서 어떤 동아리(클럽)활동을 하였으며, 그 이유는 무엇인가요"
2024,서울,광운대,재외국민 전형 ,-,-,자기주도성,"학교생활 중 거창하지 않고 작더라도 실패한 경험이 있었다면, 그에 대한 극복 노력을 말해보세요"
2024,서울,광운대,재외국민 전형 ,-,-,자기주도성,학교생활 중 어떤 활동에 참여하여 노력한 경험이 있나요
2024,서울,광운대,재외국민 전형 ,-,-,자기주도성,학창시절 여가시간에 주로 무엇을 하며 보냈나요
2024,서울,광운대,재외국민 전형 ,-,-,다양한 경험을 통한 발전가능성,"가장 감명깊게 읽었던 책이 있다면 무엇이며, 그 이유는 무엇인가요"
2024,서울,광운대,재외국민 전형 ,-,-,다양한 경험을 통한 발전가능성,그 책에서 기억에 남는 구절이 있다면 무엇인가요
2024,서울,광운대,재외국민 전형 ,-,-,다양한 경험을 통한 발전가능성,관심있는 분야에 대해 깊이있는 독서활동으로 확장된 사례가 있었나요
2024,서울,광운대,재외국민 전형 ,-,-,다양한 경험을 통한 발전가능성,코로나19 기간에 어떻게 학교생활을 했나요
2024,서울,광운대,재외국민 전형 ,-,-,다양한 경험을 통한 발전가능성,(외국)학교생활 중 학업적 측면에서 가장 힘든 점은 무엇이었나요
2024,서울,광운대,재외국민 전형 ,-,-,다양한 경험을 통한 발전가능성,(외국)학교생활 중 생활적 측면에서 가장 힘든 점은 무엇이었나요
2024,서울,광운대,재외국민 전형 ,-,-,리더십,"학교생활 중 리더십을 발휘한 경험이 있다면 무엇이며, 배우거나 느낀 점은 무엇인가요"
2024,서울,광운대,재외국민 전형 ,-,-,리더십,본인 생각에 리더로서 가져야 할 자질이 무엇이라고 생각하나요
2024,서울,광운대,재외국민 전형 ,-,-,리더십,솔선수범하는 활동이나 행동을 해본 경험이 있나요
2024,서울,광운대,재외국민 전형 ,-,-,리더십,팀 구성원들의 인정과 신뢰를 바탕으로 참여를 이끌어내고 조율한 경험이 있었나요
2024,서울,광운대,재외국민 전형 ,-,-,성실성 및 책임감,결석/조퇴/지각의 경험이 1년에 어느 정도 있었나요
2024,서울,광운대,재외국민 전형 ,-,-,성실성 및 책임감,팀(모둠)활동의 경험에서 본인의 역할은 주로 무엇이었나요
2024,서울,광운대,재외국민 전형 ,-,-,봉사정신 및 공동체의식,봉사활동의 경험이 있나요? 있다면 그 봉사활동을 하며 배우거나 느낀 점은 무엇인가요
2024,서울,광운대,재외국민 전형 ,-,-,봉사정신 및 공동체의식,"학교생활 중 멘토링 해본 경험이 있다면 무엇이며, 배우거나 느낀 점은 무엇인가요"
2024,서울,광운대,재외국민 전형 ,-,-,봉사정신 및 공동체의식,팀 구성원들과 협력을 통해 공동의 과제를 수행하고 완성한 경험이 있나요
2024,서울,광운대,재외국민 전형 ,-,-,봉사정신 및 공동체의식,팀(모둠)활동 중 팀원들과 좋은 관계를 유지하기 위해 노력했던 경험이 있나요
2024,서울,광운대,재외국민 전형 ,-,-,봉사정신 및 공동체의식,외국 친구들과 원만한 관계를 형성하기 위해 무슨 노력을 했나요
2024,서울,광운대,재외국민 전형 ,-,-,봉사정신 및 공동체의식,대학생활 중 국내학생들과 문화/정서적 차이가 발생한다면 어떻게 해결할지 말씀해보세요
2024,서울,국민대,어학 특기자전형(인문계),-,-,기본소양 I,"현재 수도권이 아닌 지방의 의사 수가 부족하여 사회적 문제가 되고 있다. 이러한 문제를 해결하기 위해 의과대학 정원 확대, 해당 지역에서 의무적으로 복무하게 하는 공공의대 설립 등의 방안이 제시되고 있다. 수도권에 비해 지방의 의사 수가 특히 부족한 원인과 해결방법에 대한 의견을 말해 보시오.
-지방의 의사 수가 특히 부족한 이유가 무엇이라고 생각하나요?
-해당 지역에서 일정 기간 의무 복무하게 하는 공공의대의 장점과 문제점은 무엇이라고 생각하나요?"
2024,서울,국민대,어학 특기자전형(인문계),-,-,기본소양 II,"우리나라의 인구감소문제에 대응하기 위한 방안으로 외국인 이민의 확대를 제안하는 의견이 있다. 외국인 이민 확대의 장점과 단점을 비교하고 자신의 의견을 말해 보시오.
-인구감소가 가져올 문제점등른 어떤 것들이 있나요?
-이민자가 증가할 경우 생길 수 있는 문제점은 무엇인가요?"
2024,서울,국민대,어학 특기자전형(인문계),-,-,기본소양 I,"최근의 통계에 따르면 대한민국의 합계 출생율은 0.78을 기록했다. 이 수치는 세계 최저로 OECD 회원국 평균 출산율 1.59(2020년)의 절반에도 못된다. 출산율의 저하가 경제와 산업에 초래할 영향은 무엇이며 출산율을 제고시키기 위한 대책은 무엇일까?
-한국의 출산율이 유독 이렇게 낮아진 원인은 무엇이며 출산율 저하가 경제에 주는 영향은 무엇일까?
-출산율을 늘리기 위해서 정부나 사회가 추진해야 할 정책과 노력은 무엇일까?"
2024,서울,국민대,어학 특기자전형(인문계),-,-,기본소양 II,"2년째 지속 되는 러시아-우크라이나 전쟁과 최근 악화하고 있는 이스라엘과 하마스 간 분쟁은 세계적인 차원에서 안보위기를 초래하고 있고 원유를 비롯한 원자재의 공급망 교란을 초래하여 세계 경제에도 악영향을 미치고 있다. 두 개의 전쟁이 한국에 미치는 영향은 무엇인가?
-러시아의 우크라이나 침공 및 중동에서의 분쟁사태는 우리의 안보환경에 어떤 영향을 주고 있는가?
-글로벌 차원에서 벌어지는 전쟁이나 국제분쟁이 한국 경제에 주는 영향은 무엇일까?"
2024,서울,국민대,어학 특기자전형(KIBS),-,-,기본소양 I,"지난해 국내 실험에 동원된 동물의 수가 399만 마리에 달하는 것으로 나타났다. 전년 대비 11만 마리가 증가한 수치로, 역대 최대치를 기록했다. 실험동물은 지난 10여년간 꾸준히 증가하고 있다. 실험 동물에게 고통을 주는 유형의 실험 비중이 높다는 점에서 동물 실험은 많은 비판을 직면하고 있다. 동물 실험에 대한 찬반 의견을 간략히 서술하고, 본인의 의견을 제시하시오.
-코로나로 인한 판데믹 당시 투구게를 이용한 시험을 통해 빠르게 신약을 개발하고 보급할 수 있었다. 이처럼 많은 인간의 생명이 달린 급박한 상황에서 동물 실험을 진행하는 것이 적절하다고 생각하는가?
-동물실험을 중지한다면 어떠한 방식으로 신약을 개발할 것인가?"
2024,서울,국민대,어학 특기자전형(KIBS),-,-,기본소양 II,"현재 한국은 노인의 복지증진에 기여하기 위한 노인복지법 규정에 따라 현재 65세 이상 노인은 지하철을 제한 없이 무료로 이용할 수 있게 허용하고 있다. 하지만 지하철이 지속적으로 적자를 내는 상황이 오며, 노인 무임승차 제도가 논란이 되고 있다. 찬반의 입장을 간략히 서술하고, 본인의 의견과 이에 대한 근거를 제시하시오. 
-해당 제도의 개선 방안에 대해 논하시오. 
-노인의 소득에 따라 무임혜택을 달리 하자는 주장에 대해 어떻게 생각하는가?"
2024,서울,국민대,어학 특기자전형(KIBS),-,-,기본소양 I,"로봇이 사회 곳곳에 도입되기 시작하면서 회사의 한 팀에서 로봇과 인간이 함께 일하는 사회가 점점 다가오고 있다. 로봇이 인간의 상사(supervisor)로서 역할을 수행할 때 생길 수 있는 이슈와 그 이슈를 해결하는 방법을 한 가지 이상 제시하시오
-로봇이 인간을 팀원으로 두고 팀리더로서 역할을 수행할 가능성이 높은 업무에는 어떠한 것이 있는가?
-로봇이 팀리더가 되어 팀원을 관리한다면 인간의 입장에서 겪을 어려움은 무엇인가?"
2024,서울,국민대,어학 특기자전형(KIBS),-,-,기본소양 II,"최근 미국 연방대법원(the Supreme Court of the United States)은 ‘소수 인종 우대 입학’ (minority race-based affirmative action in college admissions)제도에 대해 위헌
(unconstitutional) 결정을 내렸다. 위헌 결정에 대한 찬반 의견(for or against)을 밝히고 그 논거(rationale)를 설명하시오.
-‘소수 인종 우대입학’ 제도를 도입했던 이유는 무엇이었다고 생각하는가?
-‘소수 인종 우대입학’ 제도에 대한 위헌 판결이 어떠한 사회적 파급력이 있을 것이라 생각하는가?"
2024,서울,국민대,소프트웨어 특기자전형,-,-,기본소양 I,"생성 AI 기술의 진보로, 창의적인 글쓰기나 그림 그리기 등이 용이해졌습니다. 생성 AI 기술이 사회에 보급될 때의 장단점을 말해보시오. 그리고 생성 AI와 인간이 공존하는 사회에서 발생할 수 있는 사회적 문제는 무엇이고 이를 최소화하기 위한 기술적인 방안을 말해보시오.
-생성 AI를 새로운 도구라는 관점에서 봤을 때, 글이나 그림 작성에 전문적인 지식을 가지지 않은 사람에게는 어떠한 혜택이 있을까? 반면, 아직 글이나 그림에 전문성을 가지고 있지만 견습생 수준인 작가들은 생성 AI에 비해 어떤 대우를 받을 것으로 보이는가?
-생성 AI 기술이 보급되었을 때 발생할 수 있는 사회적 문제의 구체적인 사례를 제시하고, 이를 어떻게 해결할 것인지 설명하게 한다. 예) 가짜 뉴스 유통, 작가의 글/그림, 개인정보 등을 무단 도용한 생성 AI 학습"
2024,서울,국민대,기능 특기자전형,-,-,기본소양 I,"갈수록 발전하는 AI와 첨단 센서 기술로 무장한 자율주행차는 도로에서 소리 없이, 티를 내지 않고 주행하고 있다. 만약 자율주행차가 위험한 상황을 감지했을 때, 보행자나 다른 일반차량에 위험을 알리는 ‘소통’의 방법으로 어떠한 신호를 줄 수 있을지 의견을 제시하고 설명하시오.
-보행자의 입장에서 자동차가 일반적으로 사용되는 소통은 어떤 것들이 있을까요? (혹은 보행자가 사용하는)
-일반적으로 사용되는 경적이나, 상향등을 사용하면 발생할 수 있는 문제점은 어떤 것이 있을까요?"
2024,서울,국민대,기능 특기자전형,-,-,기본소양 II,"최근 뉴스에서 “CCTV 100개를 뒤져 40시간 만에 수풀에 쓰러진 치매노인을 찾았다”는 보도가 있었다. 이처럼 폐쇄회로(CCTV)가 범죄예방이나 교통사고 감식등에 활용되면서 갈수록 증가하고 있지만 ‘사생활 침해’라는 이유로 CCTV 설치를 반대하는 의견과 대립하고 있다. CCTV 설치 찬반에 대한 본인의 의견을 제시하고 논리적으로 설명하시오.
-찬성의 경우 CCTV가 사생활을 침해하지 않는 범주에 대해 제시하시오.
-반대의 경우 CCTV를 대체할 수 있는 방안이 있다면 제시하시오."
2024,서울,국민대,미술·조형 특기자전형,-,-,기본소양 I,"비수도권을 지칭되었던 지방이 ‘로컬(local)’이라는 이름으로 최근 새롭게 각인되고 있다. 주거와 교육, 생활 인프라 등이 잘 갖춰진 수도권과 비교해 지방의 위기는 가속화되고 있다. 이러한 상황에서 지역을 살리고 지역의 가치를 새롭게 만들며 지속가능한 지역발전을 위해 디자이너 혹은 공예가가 기여할 수 있는 방법을 제안하시오.
-지역 곳곳에 숨겨진 매력적인 지역 자원을 발굴해 지역 고유의 매력을 보여주었던 디자인 혹은 공예 창작물의 사례를 제시하고, 그 이유를 설명하시오.
-지역발전을 위한 디자인 혹은 공예를 위해 필요한 것들이 무엇인지 말해보시오."
2024,서울,국민대,미술·조형 특기자전형,-,-,기본소양 I,"챗GPT(Chat GPT:Generative Pre-trained Transformer)를 포함한 혁신적 잠재력을 지닌 생성형 AI(Artificial Intelligence) 시대가 도래하고 있다. AI의 등장이 현재의 디자인 또는 공예를 어떻게 변화시킬 것인지 본인의 견해를 중심으로 설명하시오.
-이러한 상황에서의 디자이너 또는 공예가의 역할은 무엇인지 제안하시오.
-AI가 산출해 낸 디자인 또는 공예 창작물을 인간의 것과 마찬가지로 저작물로 보호해야 하는지 본인의 견해를 말해보시오."
2024,서울,국민대,체육 특기자전형,-,-,기본소양 I,"올해 IOC 선수 위원 한국 후보로 골프 박인비가 선정되었습니다. IOC 선수 위원의 역할과 중요성을 설명하시오.
-IOC 선수 위원에 대해서 설명하시오.
-IOC에 관해서 설명하시오."
2024,서울,국민대,체육 특기자전형,-,-,기본소양 II,"최근 유명 운동선수들(올림픽 메달리스트)이 대형 미디어를 통해 “예능인”으로 출연하는 빈도가 높아졌습니다. 스포츠인으로서 이러한 현상에 대해 긍정적인 측면과 부정적인 측면을 논하시오.
-운동선수들이 방송 출연을 자주 함으로써 발생할 수 있는 대중의 사회적 또는 심리적 변화는 무엇인지 논하시오.
-스포츠와 방송과의 관계를 설명하시오."
2024,서울,국민대,학생부종합,-,서류기반면접,자기주도성 및 도전정신,"○○활동을 통해 배우고, 느낀 점에 대해 말해보세요."
2024,서울,국민대,학생부종합,-,서류기반면접,자기주도성 및 도전정신,○○활동이 특별히 본인에게 의미가 있었던 이유는 무엇인지 말해보세요.
2024,서울,국민대,학생부종합,-,서류기반면접,전공적합성,"○○전공과 관련하여, 자신의 가장 우수한(뛰어난) 역량은 무엇이라고 생각하는지, 어떠한 활동들을 통해서 그 역량을 키워왔는지 말해보세요. "
2024,서울,국민대,학생부종합,-,서류기반면접,인성,주위 친구들과 협력하여 좋은 결과를 얻어낸 적이 있다면 본인이 한 역할에 대해 말해보세요.
2024,서울,강서대,-,신학과,인성면접,-,강서대학교 인재상과 부합하는 자신의 장점이나 특기는 무엇인가요?
2024,서울,강서대,-,신학과,인성면접,-,만약 졸업을 하고 목회자(목사)가 되지 않고 다른 일을 한다면 어떤 것을 하고 싶으세요?
2024,서울,강서대,-,신학과,인성면접,-,고교 시절에 가장 좋아했던 과목은 무엇이며 어떤 이유에서 좋아했나요?
2024,서울,강서대,-,신학과,인성면접,-,학업 외에 외부활동이나 기타 봉사활동 경험이 있나요?
2024,서울,강서대,-,G2빅데이터경영학과,인성면접,-,자신의 장점이나 특기는 무엇인가요? 강서대학교 인재상과 연결해서 설명해 보세요. 
2024,서울,강서대,-,G3빅데이터경영학과,인성면접,-,기말고사 전에 친구가 나의 노트필기를 빌려달라고 한다면 어떻게 할 것인가요?
2024,서울,강서대,-,G4빅데이터경영학과,인성면접,-,살면서 힘들었지만 성공적으로 해결했던 일에 대해 설명해 보세요. 
2024,서울,강서대,-,G5빅데이터경영학과,인성면접,-,G2빅데이터경영학과를 졸업 후에 어떤 일을 하고 싶으세요?
2024,서울,강서대,-,사회복지학과,인성면접,-,10년 후 나는 어떤 능력과 역량을 갖춘 인재가 되어 있을까요?
2024,서울,강서대,-,사회복지학과,인성면접,-,사회복지와 관련된 문제 중에서 자신이 관심이 있는 문제에 대해 말해 보세요. ? 
2024,서울,강서대,-,사회복지학과,인성면접,-,자신의 꿈을 이루기 위해 지금까지 어떤 일을 했는지 설명해 보세요.
2024,서울,강서대,-,사회복지학과,인성면접,-,"가장 존경하는 인물은 누구이며, 그 이유는 무엇인가요?"
2024,서울,강서대,-,상담심리학과,인성면접,-,10년 후 나는 어떤 능력과 역량을 갖춘 인재가 되어 있을까요?
2024,서울,강서대,-,상담심리학과,인성면접,-,상담이란 무엇이라고 평소에 생각해 왔나요?
